case,hour_of_year,zone_idx,exterior_temp_c,expected_load_w,rel_err
Case650FF,7446,1,17.909830056250524,1.1802121815223383,3.511150449983044e-08
Case650FF,7446,2,17.909830056250524,1.1802121815223383,3.511150449983044e-08
Case650FF,7446,3,17.909830056250524,1.1802121815223383,3.511150449983044e-08
Case650FF,7446,4,17.909830056250524,1.1802121815223383,3.511150449983044e-08
Case650FF,7533,0,8.049484411705794,25.558853907037935,2.9642325736779598e-08
Case650FF,7533,1,8.049484411705794,25.558853907037935,2.9642325736779598e-08
Case650FF,7533,2,8.049484411705794,25.558853907037935,2.9642325736779598e-08
Case650FF,7533,3,8.049484411705794,25.558853907037935,2.9642325736779598e-08
Case650FF,7533,4,8.049484411705794,25.558853907037935,2.9642325736779598e-08
Case650FF,7621,0,11.156417535585987,48.785586951840685,7.357712661046445e-09
Case650FF,7621,1,11.156417535585987,48.785586951840685,7.357712661046445e-09
Case650FF,7621,2,11.156417535585987,48.785586951840685,7.357712661046445e-09
Case650FF,7621,3,11.156417535585987,48.785586951840685,7.357712661046445e-09
Case650FF,7621,4,11.156417535585987,48.785586951840685,7.357712661046445e-09
Case650FF,7708,0,18.346499618481754,0.0,0.0
Case650FF,7708,1,18.346499618481754,0.0,0.0
Case650FF,7708,2,18.346499618481754,0.0,0.0
Case650FF,7708,3,18.346499618481754,0.0,0.0
Case650FF,7708,4,18.346499618481754,0.0,0.0
Case650FF,7796,0,8.427397313191015,29.678641904798386,1.2404571397401397e-08
Case650FF,7796,1,8.427397313191015,29.678641904798386,1.2404571397401397e-08
Case650FF,7796,2,8.427397313191015,29.678641904798386,1.2404571397401397e-08
Case650FF,7796,3,8.427397313191015,29.678641904798386,1.2404571397401397e-08
Case650FF,7796,4,8.427397313191015,29.678641904798386,1.2404571397401397e-08
Case650FF,7884,0,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,7884,1,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,7884,2,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,7884,3,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,7884,4,14.122147477075266,42.479814991281614,3.4027595555918e-08
Case650FF,7971,0,18.880739624853934,0.0,0.0
Case650FF,7971,1,18.880739624853934,0.0,0.0
Case650FF,7971,2,18.880739624853934,0.0,0.0
Case650FF,7971,3,18.880739624853934,0.0,0.0
Case650FF,7971,4,18.880739624853934,0.0,0.0
Case650FF,8059,0,9.38565127382211,38.7388224732804,1.1970712805071649e-08
Case650FF,8059,1,9.38565127382211,38.7388224732804,1.1970712805071649e-08
Case650FF,8059,2,9.38565127382211,38.7388224732804,1.1970712805071649e-08
Case650FF,8059,3,9.38565127382211,38.7388224732804,1.1970712805071649e-08
Case650FF,8059,4,9.38565127382211,38.7388224732804,1.1970712805071649e-08
Case650FF,8146,0,18.737015825727212,0.0,0.0
Case650FF,8146,1,18.737015825727212,0.0,0.0
Case650FF,8146,2,18.737015825727212,0.0,0.0
Case650FF,8146,3,18.737015825727212,0.0,0.0
Case650FF,8146,4,18.737015825727212,0.0,0.0
Case650FF,8234,0,19.316087063987975,0.0,0.0
Case650FF,8234,1,19.316087063987975,0.0,0.0
Case650FF,8234,2,19.316087063987975,0.0,0.0
Case650FF,8234,3,19.316087063987975,0.0,0.0
Case650FF,8234,4,19.316087063987975,0.0,0.0
Case650FF,8322,0,10.909830056250524,47.97737366153017,2.853402136750219e-08
Case650FF,8322,1,10.909830056250524,47.97737366153017,2.853402136750219e-08
Case650FF,8322,2,10.909830056250524,47.97737366153017,2.853402136750219e-08
Case650FF,8322,3,10.909830056250524,47.97737366153017,2.853402136750219e-08
Case650FF,8322,4,10.909830056250524,47.97737366153017,2.853402136750219e-08
Case650FF,8409,0,21.751573698299463,0.0,0.0
Case650FF,8409,1,21.751573698299463,0.0,0.0
Case650FF,8409,2,21.751573698299463,0.0,0.0
Case650FF,8409,3,21.751573698299463,0.0,0.0
Case650FF,8409,4,21.751573698299463,0.0,0.0
Case650FF,8497,0,19.677692036092694,0.0,0.0
Case650FF,8497,1,19.677692036092694,0.0,0.0
Case650FF,8497,2,19.677692036092694,0.0,0.0
Case650FF,8497,3,19.677692036092694,0.0,0.0
Case650FF,8497,4,19.677692036092694,0.0,0.0
Case650FF,8584,0,13.544822625907747,45.96627074892141,6.573169006060277e-09
Case650FF,8584,1,13.544822625907747,45.96627074892141,6.573169006060277e-09
Case650FF,8584,2,13.544822625907747,45.96627074892141,6.573169006060277e-09
Case650FF,8584,3,13.544822625907747,45.96627074892141,6.573169006060277e-09
Case650FF,8584,4,13.544822625907747,45.96627074892141,6.573169006060277e-09
Case650FF,8672,0,24.56538388029249,0.0,0.0
Case650FF,8672,1,24.56538388029249,0.0,0.0
Case650FF,8672,2,24.56538388029249,0.0,0.0
Case650FF,8672,3,24.56538388029249,0.0,0.0
Case650FF,8672,4,24.56538388029249,0.0,0.0
Case800,0,0,22.0,0.0,0.0
Case800,0,1,22.0,0.0,0.0
Case800,0,2,22.0,0.0,0.0
Case800,0,3,22.0,0.0,0.0
Case800,0,4,22.0,0.0,0.0
Case800,87,0,19.33752020295321,0.0,0.0
Case800,87,1,19.33752020295321,0.0,0.0
Case800,87,2,19.33752020295321,0.0,0.0
Case800,87,3,19.33752020295321,0.0,0.0
Case800,87,4,19.33752020295321,0.0,0.0
Case800,175,0,28.582301895462702,0.0,0.0
Case800,175,1,28.582301895462702,0.0,0.0
Case800,175,2,28.582301895462702,0.0,0.0
Case800,175,3,28.582301895462702,0.0,0.0
Case800,175,4,28.582301895462702,0.0,0.0
Case800,262,0,22.115446968240143,0.0,0.0
Case800,262,1,22.115446968240143,0.0,0.0
Case800,262,2,22.115446968240143,0.0,0.0
Case800,262,3,22.115446968240143,0.0,0.0
Case800,262,4,22.115446968240143,0.0,0.0
Case800,350,0,22.977767819313343,0.0,0.0
Case800,350,1,22.977767819313343,0.0,0.0
Case800,350,2,22.977767819313343,0.0,0.0
Case800,350,3,22.977767819313343,0.0,0.0
Case800,350,4,22.977767819313343,0.0,0.0
Case800,438,0,31.326237921249263,17.01370025788102,1.3362670615234519e-08
Case800,438,1,31.326237921249263,17.01370025788102,1.3362670615234519e-08
Case800,438,2,31.326237921249263,17.01370025788102,1.3362670615234519e-08
Case800,438,3,31.326237921249263,17.01370025788102,1.3362670615234519e-08
Case800,438,4,31.326237921249263,17.01370025788102,1.3362670615234519e-08
Case800,525,0,23.61260747708349,0.0,0.0
Case800,525,1,23.61260747708349,0.0,0.0
Case800,525,2,23.61260747708349,0.0,0.0
Case800,525,3,23.61260747708349,0.0,0.0
Case800,525,4,23.61260747708349,0.0,0.0
Case800,613,0,26.664997609122295,0.0,0.0
Case800,613,1,26.664997609122295,0.0,0.0
Case800,613,2,26.664997609122295,0.0,0.0
Case800,613,3,26.664997609122295,0.0,0.0
Case800,613,4,26.664997609122295,0.0,0.0
Case800,700,0,33.06763771520045,35.975818654083234,5.573196585633951e-10
Case800,700,1,33.06763771520045,35.975818654083234,5.573196585633951e-10
Case800,700,2,33.06763771520045,35.975818654083234,5.573196585633951e-10
Case800,700,3,33.06763771520045,35.975818654083234,5.573196585633951e-10
Case800,700,4,33.06763771520045,35.975818654083234,5.573196585633951e-10
Case800,788,0,25.168056433896677,0.0,0.0
Case800,788,1,25.168056433896677,0.0,0.0
Case800,788,2,25.168056433896677,0.0,0.0
Case800,788,3,25.168056433896677,0.0,0.0
Case800,788,4,25.168056433896677,0.0,0.0
Case800,876,0,30.228993532094623,2.9957231115710057,3.420259643328545e-08
Case800,876,1,30.228993532094623,2.9957231115710057,3.420259643328545e-08
Case800,876,2,30.228993532094623,2.9957231115710057,3.420259643328545e-08
Case800,876,3,30.228993532094623,2.9957231115710057,3.420259643328545e-08
Case800,876,4,30.228993532094623,2.9957231115710057,3.420259643328545e-08
Case800,963,0,34.45482661529944,45.964463839185235,3.3915587557513335e-08
Case800,963,1,34.45482661529944,45.964463839185235,3.3915587557513335e-08
Case800,963,2,34.45482661529944,45.964463839185235,3.3915587557513335e-08
Case800,963,3,34.45482661529944,45.964463839185235,3.3915587557513335e-08
Case800,963,4,34.45482661529944,45.964463839185235,3.3915587557513335e-08
Case800,1051,0,26.752566247711847,0.0,0.0
Case800,1051,1,26.752566247711847,0.0,0.0
Case800,1051,2,26.752566247711847,0.0,0.0
Case800,1051,3,26.752566247711847,0.0,0.0
Case800,1051,4,26.752566247711847,0.0,0.0
Case800,1138,0,34.700059934367324,47.13233643331771,1.6347076603560376e-08
Case800,1138,1,34.700059934367324,47.13233643331771,1.6347076603560376e-08
Case800,1138,2,34.700059934367324,47.13233643331771,1.6347076603560376e-08
Case800,1138,3,34.700059934367324,47.13233643331771,1.6347076603560376e-08
Case800,1138,4,34.700059934367324,47.13233643331771,1.6347076603560376e-08
Case800,1226,0,35.284624647046414,49.12566994287029,2.9390916458028353e-08
Case800,1226,1,35.284624647046414,49.12566994287029,2.9390916458028353e-08
Case800,1226,2,35.284624647046414,49.12566994287029,2.9390916458028353e-08
Case800,1226,3,35.284624647046414,49.12566994287029,2.9390916458028353e-08
Case800,1226,4,35.284624647046414,49.12566994287029,2.9390916458028353e-08
Case800,1314,0,28.326237921249266,0.0,0.0
Case800,1314,1,28.326237921249266,0.0,0.0
Case800,1314,2,28.326237921249266,0.0,0.0
Case800,1314,3,28.326237921249266,0.0,0.0
